,#,Account,OpenSea / ENS,Number Owned,last Active
0,1,0xc352b534e8b98,,429,12 days ago
1,2,0xb7f7f6c52f2e2,WrappedCryptoPu,310,17 hours ago
2,3,0xa25803ab86a32,wilcox.eth,254,1 month ago
3,4,0xb88f61e6fbda8,,215,4 months ago
4,5,0x577ebc5de943e,,173,26 days ago
5,6,0x69021ae876958,sov.eth,147,
6,7,0x26f744711ee9e,,141,4 years ago
7,8,0xcc7c335f3365a,,126,3 days ago
8,9,0xcffc336e6d019,,125,1 month ago
9,10,0x6f4a2d3a4f47f,,103,1 day ago
10,11,0xd79b937791724,,102,1 month ago
11,12,0x51688cd36c188,,100,
12,13,0x6611fe71c233e,,99,5 days ago
13,14,0x31a5ff62a1b2c,,98,
14,15,0x4084df8bf74ba,,98,
15,16,0x062c5432107e3,,93,1 month ago
16,17,0x7174039818a41,,89,3 years ago
17,18,0xdde8df9a7dc9f,Kenney,82,2 months ago
18,19,0x3be89b64e1437,,78,4 days ago
19,20,0x6301add4fb128,ddaavvee,75,25 days ago
20,21,0x7760e0243ca9b,,66,3 years ago
21,22,0x00b278dd68f9d,,63,20 days ago
22,23,0xd6a984153acb6,gary.veefriends,59,1 month ago
23,24,0xff36ff458b51d,hodlponkz.eth,54,
24,25,0x4d8e16a70f384,,52,
25,26,0x269616d549d7e,,51,3 days ago
26,27,0x4bbb41f61fffc,,50,7 months ago
27,28,0xb47a70df538b9,niftynaut.eth,49,21 days ago
28,29,0x005734d7d408b,,46,4 years ago
29,30,0x2cc12318de28e,,44,
30,31,0xc480fb0ebea25,,38,22 days ago
31,32,0x8f6b1e467fbe7,,38,12 days ago
32,33,0x03205743e7fc5,,38,1 month ago
33,34,0x030defb961d3f,,37,16 days ago
34,35,0x2f2f237d2e655,thebeautyandthe,37,1 month ago
35,36,0x97ad156c48078,,35,
36,37,0xc24f574d6853f,shilpixels.eth,34,26 days ago
37,38,0x0e9aed5c7721c,,31,11 days ago
38,39,0x8fa20dcc712bd,,30,
39,40,0x78f0269f5b1ca,TokenAngels,30,2 days ago
40,41,0xc6a8206756fbc,punks.pixls.eth,30,7 months ago
41,42,0x052564eb0fd8b,pablopunkasso.e,29,1 day ago
42,43,0xf605c6c3caa16,,29,10 days ago
43,44,0x7583534d2f2c3,,29,1 month ago
44,45,0x66c7a7348250f,cx000.eth,28,2 years ago
45,46,0xbb67d2ab6251a,,26,
46,47,0x56178626332fc,,25,1 month ago
47,48,0xc52650d88793c,kcmo.eth,25,1 month ago
48,49,0x94de7e2c73529,tonyherrera,25,6 days ago
49,50,0x231d688aa706d,,24,1 month ago
50,51,0x9df947cd8a981,,23,
51,52,0x3295df41a2f28,Cyrus,23,2 years ago
52,53,0x68a7ac13477aa,,22,6 months ago
53,54,0x9ae8912ea6562,snax,22,1 month ago
54,55,0xbb1ec73938b9d,,22,1 month ago
55,56,0xd5b171571df3b,,21,1 day ago
56,57,0x530afa101bed3,PB,21,5 months ago
57,58,0x1da5331994e78,,21,1 month ago
58,59,0xb89c2f6bb674b,Tschuuuly,19,1 month ago
59,60,0xc2f87f88df0f2,curating_bits,19,5 months ago
60,61,0x44fab57dba0e6,,19,4 years ago
61,62,0x940fec5c4f11f,,18,1 month ago
62,63,0x024bcbcaad82e,,18,3 days ago
63,64,0xb4bb4156e5e6c,,18,6 days ago
64,65,0x896848ad1a209,,18,1 month ago
65,66,0x584cdfdeed396,,18,2 months ago
66,67,0x702a39a9d7d84,,18,1 month ago
67,68,0xef768ef781637,,18,1 day ago
68,69,0xae33cc279f43f,,18,
69,70,0x2a538000a53f3,0x_NFT,17,7 months ago
70,71,0xdd9d84399a8e8,,17,4 years ago
71,72,0xb0dafc466871c,thecitadel.eth,17,1 day ago
72,73,0xe83c750b27083,Snowfro,16,1 month ago
73,74,0x8be6ad79f67d1,,16,27 days ago
74,75,0x175b49d39c059,realbuddha.eth,16,
75,76,0xcf8401fabc115,,16,28 days ago
76,77,0x0258558bf2a4f,,15,11 days ago
77,78,0x32dd0756316b3,,15,1 month ago
78,79,0xe5c4c41194901,Katasterfoes,15,1 month ago
79,80,0x82b1f29c56082,ross_VRON,15,1 month ago
80,81,0x1e36a5979c613,7478,14,1 month ago
81,82,0x8e7644918b3e2,zoink.eth,14,2 months ago
82,83,0x2754637ab168f,,14,
83,84,0x8ca89c56aefd3,,14,3 years ago
84,85,0x50dd57f50a17d,,14,27 days ago
85,86,0xb70c1a3242e36,,14,4 days ago
86,87,0xa8f8f58212302,,14,5 days ago
87,88,0x9d3f4eeb533b8,district13.eth,14,7 months ago
88,89,0xe301612b0751f,,13,1 month ago
89,90,0x7447397496b36,,13,4 years ago
90,91,0x4c1147725bac8,,13,4 years ago
91,92,0x47d4f20ae83bc,doh.eth,13,2 months ago
92,93,0x762ec7ca4658e,,13,
93,94,0xfe0d9af0225f0,,13,
94,95,0xbd33b53b6394d,fez.eth,12,10 days ago
95,96,0x7a39608107dc0,,11,13 days ago
96,97,0xfe2f279d3679b,subbo.eth,11,3 days ago
97,98,0x2e675eeae4747,,11,
98,99,0x51ec89f1fcfed,,11,2 months ago
99,100,0xd24ff5e32de12,,11,
100,101,0x98cfea4a7632e,,11,8 months ago
101,102,0xdc9e112ab6859,,11,
102,103,0xed47015bb8080,,11,2 months ago
103,104,0x84d34f4f83a87,,11,1 month ago
104,105,0x9145f156ea5e0,,11,
105,106,0x79bb5016e87ec,,10,
106,107,0x80845058350b8,,10,10 days ago
107,108,0x303052148a78a,Pixls,10,3 months ago
108,109,0x50664ede715e1,yfimaxi.eth,10,29 days ago
109,110,0x422fac9209d91,,10,11 days ago
110,111,0x0da0df4be4671,metakid,10,1 month ago
111,112,0xa64bdddd3c2c3,,10,3 years ago
112,113,0x9e1e409f901a7,,10,1 month ago
113,114,0x8adbff0b3a450,,10,1 month ago
114,115,0x27c79a0187896,,10,1 month ago
115,116,0xcbefa0a38a915,,10,1 month ago
116,117,0xf36972bbff0bb,disco.eth,10,29 days ago
117,118,0xcd2c66fe27f8c,,10,1 month ago
118,119,0x9674ede5eb609,omz.eth,10,27 days ago
119,120,0xe203882039bf2,,9,2 days ago
120,121,0x5163588239afc,,9,1 month ago
121,122,0xdb25e38a12d03,NFTinTin,9,1 day ago
122,123,0x2e0c34490a9ee,,9,
123,124,0x279679e6b44ec,,9,1 month ago
124,125,0x5d89cc281c3f4,,9,
125,126,0x897aea3d51dcb,alien635.eth,9,
126,127,0xf2ef5636b38ec,marspunks.eth,9,23 hours ago
127,128,0xe8723d26ad5f7,jmg,9,6 days ago
128,129,0xe5545c0e1b2dc,,9,1 month ago
129,130,0xe75021660e00a,,9,3 days ago
130,131,0x6ec30fd91a504,daddykalish.eth,9,2 days ago
131,132,0x51636d9efbfb7,,9,27 days ago
132,133,0x28784d9a5052b,,9,7 months ago
133,134,0xd4fa6e82c7771,,9,1 month ago
134,135,0x51853e1b61f89,Catdog,9,1 year ago
135,136,0x01ec738293d4f,✨🚀🌙.eth,9,6 months ago
136,137,0xfeeb2d7f276b3,,9,6 days ago
137,138,0x800b4dbcef65c,,9,4 years ago
138,139,0x374bd185ee19f,,9,7 months ago
139,140,0x8dbbca57ea562,VonMises,9,29 days ago
140,141,0xdfc05563f9477,,9,4 months ago
141,142,0x7d4823262bd2c,fazebanks.eth,9,29 days ago
142,143,0xce90a7949bb78,,9,17 days ago
143,144,0xc5faf10fe8446,,9,26 days ago
144,145,0x83506d12aca4c,pelvis.eth,9,1 month ago
145,146,0x6639c089adfba,,9,2 days ago
146,147,0x9e427ebcca41c,,8,4 days ago
147,148,0x4322aa46ffed6,,8,1 month ago
148,149,0x65b1b96bd0192,,8,22 hours ago
149,150,0x18e804e61c44f,,8,1 month ago
150,151,0x645eb399f09a3,,8,1 month ago
151,152,0x8e662143178bb,Dude_Nakamoto,8,1 month ago
152,153,0xc46db2d89327d,Deeze,8,2 days ago
153,154,0x06bf2b4da028b,,8,25 days ago
154,155,0xfe83a0a06d830,,8,
155,156,0xdb91873ea5211,,8,
156,157,0x3689df917b622,,8,25 days ago
157,158,0x88c50035b55cb,,8,1 month ago
158,159,0x5f18f90824768,,8,5 months ago
159,160,0x67c4438c86c00,,8,7 months ago
160,161,0xae7721babd433,,7,7 days ago
161,162,0x4db1dd33159f5,,7,5 months ago
162,163,0x0a8f4037729ac,,7,
163,164,0x2503e93fbb53f,spykid.eth,7,1 month ago
164,165,0xb79cd7662a50e,deafbeefvault.e,7,1 month ago
165,166,0x968b61557a99b,artofrjm,7,1 year ago
166,167,0xc72f3a0fedd9d,,7,2 years ago
167,168,0xb38071b23f0fa,,7,1 month ago
168,169,0x71710e1a6b5e5,,7,4 months ago
169,170,0x470e9bd486ebf,,7,3 years ago
170,171,0x729fcb34c7c84,,7,4 years ago
171,172,0x1c38e6b7a886a,,7,15 days ago
172,173,0x4154245739a63,thebinocollecti,7,12 days ago
173,174,0xb3e08599ac576,oniichan.eth,7,
174,175,0xce7a9f981a2a7,,7,1 month ago
175,176,0x449c69df8487c,,7,1 month ago
176,177,0xa351a4fffceed,,7,6 days ago
177,178,0x3ee505ba31687,,7,4 months ago
178,179,0x7c00c9f0e7aed,0x7c00c9f0e7aed,7,14 days ago
179,180,0x5b53cbf3a7ae6,storage.dcl.eth,7,18 days ago
180,181,0x8ad272ac86c6c,j1mmy_vault,6,1 month ago
181,182,0x7d4d1f45a9fec,mshadows.eth,6,1 month ago
182,183,0x75cfed3969e79,,6,10 days ago
183,184,0x944d3225a9118,,6,7 hours ago
184,185,0xf4b4a58974524,,6,26 days ago
185,186,0x268169a19bca3,,6,2 months ago
186,187,0xd387a6e4e84a6,Pranksy,6,4 days ago
187,188,0x2999377cd7a7b,josie,6,1 year ago
188,189,0x7f3560773c01c,,6,15 days ago
189,190,0xcd1ab231cf7f0,,6,
190,191,0xd16d910d50f7d,RationalStickyA,6,
191,192,0x93730ce5ac9de,,6,
192,193,0xe03559ea7be32,,6,29 days ago
193,194,0x8b7a5b2217561,zaphod,6,1 month ago
194,195,0xc182d81b3c3bb,,6,4 years ago
195,196,0x8c6d56e641164,,6,4 years ago
196,197,0x1c41d8667e815,,6,
197,198,0xcffc60228e1a8,jesterboxboy.et,6,29 days ago
198,199,0xf1e1c701b49b1,,6,1 month ago
199,200,0x0d93bc9654df5,yeastydough.eth,6,17 hours ago
200,201,0x53311150764f7,ohana.eth,6,12 days ago
201,202,0x362b638b43f76,mzm.eth,6,11 days ago
202,203,0x008c84421da55,notmycircus.eth,6,1 month ago
203,204,0x96a6913b41b99,darylm.eth,6,1 month ago
204,205,0xf3016b7608acf,,6,11 days ago
205,206,0xba19ba5233b49,,6,4 months ago
206,207,0x3fa5b646b1927,synyster.eth,6,1 month ago
207,208,0xa486c75c52206,,6,2 months ago
208,209,0x0ed1e02164a2a,,6,29 days ago
209,210,0x850cae094ce34,laggy.eth,6,7 days ago
210,211,0xd6ef9b4164c1c,,6,1 month ago
211,212,0x3624df662d0f7,,6,6 months ago
212,213,0x59a5493513ba2,,6,7 months ago
213,214,0x7dfb9a0e7614b,,6,
214,215,0xff0bd4aa34967,,6,1 month ago
215,216,0x1857034ef7c02,,6,1 year ago
216,217,0xc40df87e16339,tappy.eth,5,1 month ago
217,218,0xcaf6fd54fb74c,capital_izm,5,4 months ago
218,219,0x3042887f97821,,5,1 month ago
219,220,0x6fb3ae4ecf5a4,,5,1 month ago
220,221,0x536c73c5b43f8,,5,
221,222,0x8ed4d3c67ee1a,BlackKettle,5,8 days ago
222,223,0xa06ad2e033937,,5,1 month ago
223,224,0xc2e32bf7b4f3b,,5,1 month ago
224,225,0xca5e7f4cfef82,,5,
225,226,0x9e67d018488ad,WuTangClan,5,4 days ago
226,227,0x8a3d2efdb70c3,,5,1 month ago
227,228,0x5d43e8ac2d585,,5,1 month ago
228,229,0xa99a76dddbb96,,5,12 days ago
229,230,0xd72bb0961368f,pleurer.eth,5,12 days ago
230,231,0xee45124d3c2a3,hammerline.eth,5,1 month ago
231,232,0xd9fab8f254c26,,5,
232,233,0x3285ba409c0bd,,5,
233,234,0x20a6f27e11edc,punkz.eth,5,1 month ago
234,235,0x0a4eafeb533d4,0x0a4eafeb533d4,5,5 months ago
235,236,0x2e5e227280b1d,,5,17 days ago
236,237,0x6abc0b05b5542,,5,1 month ago
237,238,0x7f3aff2681ae4,,5,11 days ago
238,239,0xebf1db23ec6b9,,5,1 month ago
239,240,0x076d14b6d6174,,5,6 months ago
240,241,0xbcb8c532636f9,,5,1 month ago
241,242,0x4f3a120e72c76,,5,29 days ago
242,243,0x3f17244f636f1,kikuchiyo.eth,5,1 month ago
243,244,0x81b9a5f21efdb,valko.eth,5,1 month ago
244,245,0xcd8eddd0a2704,gr8wxl,5,5 months ago
245,246,0xa9bfa94ab1497,,5,4 years ago
246,247,0x560b9244a2fdc,,5,4 years ago
247,248,0xc8c115dcb2910,,5,4 years ago
248,249,0xddfdcb21c935e,,5,11 days ago
