,Punk,Rarity,Genre,Skin,Traits,Owned_by
0,CryptoPunk #0,"2,023",Female,Mid-skinned,"['BlondeBob', 'Earring', 'GreenEyeShadow', 'HiddenEarring']",0xE08c32
1,CryptoPunk #1,"4,352",Male,Dark-skinned,"['Mohawk', 'Smile']",0xB88F61
2,CryptoPunk #2,"8,090",Female,Light-skinned,['WildHair'],0x897aEA
3,CryptoPunk #3,"7,896",Male,Dark-skinned,"['NerdGlasses', 'Pipe', 'WildHair']",0xC352B5
4,CryptoPunk #4,"7,332",Male,Mid-skinned,"['BigShades', 'Earring', 'Goat', 'WildHair']",0xC352B5
5,CryptoPunk #5,"1,960",Female,Mid-skinned,"['Earring', 'HalfShaved', 'PurpleEyeShadow', 'HiddenEarring']",Opensea
6,CryptoPunk #6,"7,425",Male,Mid-skinned,['Do-rag'],0xC352B5
7,CryptoPunk #7,866,Female,Mid-skinned,"['ClownEyesBlue', 'Spots', 'WildWhiteHair']",0xC352B5
8,CryptoPunk #8,"6,530",Male,Dark-skinned,"['LuxuriousBeard', 'MessyHair']",0xC352B5
9,CryptoPunk #9,"1,761",Male,Mid-skinned,"['BigBeard', 'ClownNose', 'PoliceCap']",0xC352B5
10,CryptoPunk #10,"5,668",Female,Dark-skinned,"['BlueEyeShadow', 'Mohawk']",0xC352B5
11,CryptoPunk #11,"2,565",Female,Mid-skinned,"['BlackLipstick', 'ClownEyesGreen', 'StraightHairDark']",0xC352B5
12,CryptoPunk #12,"1,201",Female,Dark-skinned,"['BlondeShort', 'PurpleLipstick']",0xC352B5
13,CryptoPunk #13,"1,657",Female,Light-skinned,"['BigShades', 'BlackLipstick', 'StraightHairBlonde']",0xC352B5
14,CryptoPunk #14,155,Female,Dark-skinned,"['HotLipstick', 'PilotHelmet', 'Pipe']",0x7C00c9
15,CryptoPunk #15,"6,494",Male,Albino-skinned,"['LuxuriousBeard', 'RegularShades', 'WildHair']",0xC352B5
16,CryptoPunk #16,"8,315",Male,Mid-skinned,"['Earring', 'SmallShades', 'StringyHair']",0xC352B5
17,CryptoPunk #17,"5,303",Male,Light-skinned,"['Frown', 'Mohawk']",0xC352B5
18,CryptoPunk #18,"4,458",Male,Mid-skinned,"['EyeMask', 'Muttonchops']",0xC352B5
19,CryptoPunk #19,"9,915",Female,Dark-skinned,"['Bandana', 'HornedRimGlasses', 'HotLipstick']",0xC352B5
20,CryptoPunk #20,"8,045",Male,Light-skinned,['CrazyHair'],0xC352B5
21,CryptoPunk #21,"9,607",Male,Light-skinned,"['ClassicShades', 'Earring', 'MessyHair']",0xC352B5
22,CryptoPunk #22,183,Female,Dark-skinned,"['PilotHelmet', 'PurpleLipstick']",0xC352B5
23,CryptoPunk #23,"5,480",Male,Light-skinned,"['Do-rag', 'Earring', 'Handlebars']",0xC352B5
24,CryptoPunk #24,"4,341",Male,Light-skinned,"['MohawkDark', 'Smile']",0xC352B5
25,CryptoPunk #25,"1,268",Female,Dark-skinned,['WildWhiteHair'],0xC352B5
26,CryptoPunk #26,"3,027",Female,Mid-skinned,['DarkHair'],0xC352B5
27,CryptoPunk #27,"7,831",Male,Light-skinned,"['Earring', 'PeakSpike']",0xC352B5
28,CryptoPunk #28,"8,763",Male,Dark-skinned,"['BigShades', 'CrazyHair']",0xC352B5
29,CryptoPunk #29,"2,297",Female,Mid-skinned,"['Earring', 'HalfShaved', 'HornedRimGlasses', 'HiddenEarring']",0xC352B5
30,CryptoPunk #30,"6,777",Male,Dark-skinned,"['Cap', 'NormalBeardBlack']",0x897aEA
31,CryptoPunk #31,"8,104",Female,Dark-skinned,['StringyHair'],0xC352B5
32,CryptoPunk #32,"4,393",Male,Light-skinned,"['Frown', 'VR']",0xd6a984
33,CryptoPunk #33,"7,635",Male,Light-skinned,['PeakSpike'],0x6611fE
34,CryptoPunk #34,"9,448",Female,Light-skinned,"['FrumpyHair', 'PurpleLipstick']",0xC352B5
35,CryptoPunk #35,"3,351",Male,Dark-skinned,"['Cigarette', 'Earring', 'HornedRimGlasses', 'NormalBeard', 'PeakSpike']",0xC352B5
36,CryptoPunk #36,"2,165",Female,Mid-skinned,['RedMohawk'],0xC352B5
37,CryptoPunk #37,"8,136",Female,Dark-skinned,"['Cap', 'ClownEyesBlue']",0xC352B5
38,CryptoPunk #38,"9,353",Female,Light-skinned,"['ClassicShades', 'FrumpyHair', 'PurpleLipstick']",0xC352B5
39,CryptoPunk #39,"5,226",Male,Light-skinned,"['Frown', 'RegularShades', 'ShavedHead']",Opensea
40,CryptoPunk #40,"4,247",Male,Light-skinned,"['Bandana', 'Chinstrap', 'Smile']",0xC352B5
41,CryptoPunk #41,"7,666",Male,Dark-skinned,"['ClownEyesGreen', 'Muttonchops', 'WildHair']",0xC352B5
42,CryptoPunk #42,"9,586",Female,Dark-skinned,"['Cigarette', 'WildHair']",0xC352B5
43,CryptoPunk #43,"2,166",Female,Mid-skinned,['HalfShaved'],0xC352B5
44,CryptoPunk #44,"8,099",Male,Light-skinned,['MessyHair'],0xC352B5
45,CryptoPunk #45,"4,576",Male,Mid-skinned,"['Earring', 'Mole']",0xC352B5
46,CryptoPunk #46,"2,684",Female,Mid-skinned,"['PurpleLipstick', 'StraightHairDark']",0xC352B5
47,CryptoPunk #47,"8,051",Male,Dark-skinned,['KnittedCap'],0xC352B5
48,CryptoPunk #48,"9,206",Male,Light-skinned,"['BigShades', 'Mohawk']",0xC352B5
49,CryptoPunk #49,"5,447",Female,Dark-skinned,"['Bandana', 'PurpleEyeShadow']",Opensea
50,CryptoPunk #50,902,Male,Mid-skinned,"['Fedora', 'Spots']",0xC352B5
51,CryptoPunk #51,"7,731",Male,Mid-skinned,"['Earring', 'Muttonchops', 'WildHair']",Opensea
52,CryptoPunk #52,"8,864",Male,Dark-skinned,"['Earring', 'KnittedCap', 'NerdGlasses', 'ShadowBeard']",0xC352B5
53,CryptoPunk #53,"2,825",Female,Light-skinned,"['BigShades', 'StraightHair']",0xe20388
54,CryptoPunk #54,"4,934",Male,Dark-skinned,['Hoodie'],0xC352B5
55,CryptoPunk #55,"4,502",Male,Light-skinned,['EyePatch'],0xC352B5
56,CryptoPunk #56,"7,421",Male,Dark-skinned,['ShavedHead'],0xC352B5
57,CryptoPunk #57,"8,037",Male,Light-skinned,['Headband'],0xC352B5
58,CryptoPunk #58,"4,876",Male,Mid-skinned,"['Hoodie', 'NormalBeardBlack']",0x897aEA
59,CryptoPunk #59,"1,420",Male,Albino-skinned,"['CowboyHat', 'Muttonchops']",0xC352B5
60,CryptoPunk #60,"9,849",Female,Light-skinned,"['PurpleLipstick', 'StringyHair']",Opensea
61,CryptoPunk #61,"3,026",Female,Light-skinned,['DarkHair'],0xC352B5
62,CryptoPunk #62,"8,506",Female,Dark-skinned,"['ClownEyesBlue', 'Earring', 'HotLipstick', 'MohawkDark']",0xC352B5
63,CryptoPunk #63,"7,434",Male,Dark-skinned,"['Earring', 'ShavedHead', 'SmallShades']",Opensea
