Punk_id,Rarity,Genre,Skin,Traits,Owned_by
0,2023,Female,Mid,"['BlondeBob', 'Earring', 'GreenEyeShadow', 'HiddenEarring']",0xE08c32
1,4352,Male,Dark,"['Mohawk', 'Smile']",0xB88F61
2,8090,Female,Light,['WildHair'],0x897aEA
3,7896,Male,Dark,"['NerdGlasses', 'Pipe', 'WildHair']",0xC352B5
4,7332,Male,Mid,"['BigShades', 'Earring', 'Goat', 'WildHair']",0xC352B5
5,1960,Female,Mid,"['Earring', 'HalfShaved', 'PurpleEyeShadow', 'HiddenEarring']",Opensea
6,7425,Male,Mid,['Do-rag'],0xC352B5
7,866,Female,Mid,"['ClownEyesBlue', 'Spots', 'WildWhiteHair']",0xC352B5
8,6530,Male,Dark,"['LuxuriousBeard', 'MessyHair']",0xC352B5
9,1761,Male,Mid,"['BigBeard', 'ClownNose', 'PoliceCap']",0xC352B5
10,5668,Female,Dark,"['BlueEyeShadow', 'Mohawk']",0xC352B5
11,2565,Female,Mid,"['BlackLipstick', 'ClownEyesGreen', 'StraightHairDark']",0xC352B5
12,1201,Female,Dark,"['BlondeShort', 'PurpleLipstick']",0xC352B5
13,1657,Female,Light,"['BigShades', 'BlackLipstick', 'StraightHairBlonde']",0xC352B5
14,155,Female,Dark,"['HotLipstick', 'PilotHelmet', 'Pipe']",0x7C00c9
15,6494,Male,Albino,"['LuxuriousBeard', 'RegularShades', 'WildHair']",0xC352B5
16,8315,Male,Mid,"['Earring', 'SmallShades', 'StringyHair']",0xC352B5
17,5303,Male,Light,"['Frown', 'Mohawk']",0xC352B5
18,4458,Male,Mid,"['EyeMask', 'Muttonchops']",0xC352B5
19,9915,Female,Dark,"['Bandana', 'HornedRimGlasses', 'HotLipstick']",0xC352B5
20,8045,Male,Light,['CrazyHair'],0xC352B5
21,9607,Male,Light,"['ClassicShades', 'Earring', 'MessyHair']",0xC352B5
22,183,Female,Dark,"['PilotHelmet', 'PurpleLipstick']",0xC352B5
23,5480,Male,Light,"['Do-rag', 'Earring', 'Handlebars']",0xC352B5
24,4341,Male,Light,"['MohawkDark', 'Smile']",0xC352B5
25,1268,Female,Dark,['WildWhiteHair'],0xC352B5
26,3027,Female,Mid,['DarkHair'],0xC352B5
27,7831,Male,Light,"['Earring', 'PeakSpike']",0xC352B5
28,8763,Male,Dark,"['BigShades', 'CrazyHair']",0xC352B5
29,2297,Female,Mid,"['Earring', 'HalfShaved', 'HornedRimGlasses', 'HiddenEarring']",0xC352B5
30,6777,Male,Dark,"['Cap', 'NormalBeardBlack']",0x897aEA
31,8104,Female,Dark,['StringyHair'],0xC352B5
32,4393,Male,Light,"['Frown', 'VR']",0xd6a984
33,7635,Male,Light,['PeakSpike'],0x6611fE
34,9448,Female,Light,"['FrumpyHair', 'PurpleLipstick']",0xC352B5
35,3351,Male,Dark,"['Cigarette', 'Earring', 'HornedRimGlasses', 'NormalBeard', 'PeakSpike']",0xC352B5
36,2165,Female,Mid,['RedMohawk'],0xC352B5
37,8136,Female,Dark,"['Cap', 'ClownEyesBlue']",0xC352B5
38,9353,Female,Light,"['ClassicShades', 'FrumpyHair', 'PurpleLipstick']",0xC352B5
39,5226,Male,Light,"['Frown', 'RegularShades', 'ShavedHead']",Opensea
40,4247,Male,Light,"['Bandana', 'Chinstrap', 'Smile']",0xC352B5
41,7666,Male,Dark,"['ClownEyesGreen', 'Muttonchops', 'WildHair']",0xC352B5
42,9586,Female,Dark,"['Cigarette', 'WildHair']",0xC352B5
43,2166,Female,Mid,['HalfShaved'],0xC352B5
44,8099,Male,Light,['MessyHair'],0xC352B5
45,4576,Male,Mid,"['Earring', 'Mole']",0xC352B5
46,2684,Female,Mid,"['PurpleLipstick', 'StraightHairDark']",0xC352B5
47,8051,Male,Dark,['KnittedCap'],0xC352B5
48,9206,Male,Light,"['BigShades', 'Mohawk']",0xC352B5
49,5447,Female,Dark,"['Bandana', 'PurpleEyeShadow']",Opensea
50,902,Male,Mid,"['Fedora', 'Spots']",0xC352B5
51,7731,Male,Mid,"['Earring', 'Muttonchops', 'WildHair']",Opensea
52,8864,Male,Dark,"['Earring', 'KnittedCap', 'NerdGlasses', 'ShadowBeard']",0xC352B5
53,2825,Female,Light,"['BigShades', 'StraightHair']",0xe20388
54,4934,Male,Dark,['Hoodie'],0xC352B5
55,4502,Male,Light,['EyePatch'],0xC352B5
56,7421,Male,Dark,['ShavedHead'],0xC352B5
57,8037,Male,Light,['Headband'],0xC352B5
58,4876,Male,Mid,"['Hoodie', 'NormalBeardBlack']",0x897aEA
59,1420,Male,Albino,"['CowboyHat', 'Muttonchops']",0xC352B5
60,9849,Female,Light,"['PurpleLipstick', 'StringyHair']",Opensea
61,3026,Female,Light,['DarkHair'],0xC352B5
62,8506,Female,Dark,"['ClownEyesBlue', 'Earring', 'HotLipstick', 'MohawkDark']",0xC352B5
63,7434,Male,Dark,"['Earring', 'ShavedHead', 'SmallShades']",Opensea
64,1719,Female,Mid,"['PurpleLipstick', 'StraightHairBlonde']",0xC352B5
65,7127,Female,Mid,"['EyeMask', 'Headband']",0xC352B5
66,3656,Female,Dark,['TassleHat'],0xC352B5
67,2067,Female,Dark,"['DGlasses', 'HalfShaved', 'PurpleLipstick']",0xC352B5
68,7570,Male,Dark,"['Do-rag', 'NerdGlasses']",Opensea
69,3818,Male,Mid,"['Fedora', 'NormalBeardBlack']",Opensea
70,8742,Female,Mid,"['Cigarette', 'CrazyHair', 'Earring', 'RegularShades']",0xC352B5
71,2011,Female,Light,"['GreenEyeShadow', 'HalfShaved', 'PurpleLipstick']",0xC352B5
72,3825,Male,Dark,"['Earring', 'Fedora', 'NerdGlasses', 'NormalBeard']",0xC352B5
73,9952,Female,Mid,"['Bandana', 'BlackLipstick', 'Earring']",0xC352B5
74,8981,Male,Dark,"['Earring', 'MohawkDark', 'ShadowBeard']",Opensea
75,8839,Male,Light,"['EyePatch', 'KnittedCap', 'ShadowBeard']",0xC352B5
76,7590,Male,Light,"['Cigarette', 'Do-rag']",0xC352B5
77,5613,Male,Dark,"['Handlebars', 'StringyHair']",0xC352B5
78,5546,Male,Mid,"['EyePatch', 'Handlebars', 'KnittedCap']",Opensea
79,7010,Male,Dark,"['MohawkDark', 'NormalBeard']",Opensea
80,6696,Male,Albino,"['Mustache', 'WildHair']",0xC352B5
81,8251,Male,Light,"['Headband', 'SmallShades']",0xC352B5
82,8033,Male,Albino,['Headband'],0xC352B5
83,5861,Male,Light,"['ShavedHead', 'SmallShades', 'Vape']",0xC352B5
84,9656,Male,Light,"['BigShades', 'Earring', 'MessyHair']",Opensea
85,8042,Female,Dark,['CrazyHair'],0xC352B5
86,5751,Female,Dark,"['Earring', 'GreenEyeShadow', 'HotLipstick', 'KnittedCap']",0xC352B5
87,4998,Male,Light,"['Earring', 'Hoodie', 'HiddenEarring']",0xC352B5
88,8231,Female,Light,"['Cap', 'HotLipstick']",0xC352B5
89,125,Female,Dark,['Choker'],0x78f026
90,4954,Male,Mid,"['EyePatch', 'Hoodie']",0xC352B5
91,2730,Female,Light,"['ClownNose', 'StraightHair']",0xC352B5
92,729,Female,Light,"['NerdGlasses', 'PinkWithHat', 'PurpleLipstick']",0xC352B5
93,8114,Female,Light,['Bandana'],0xC352B5
94,720,Female,Dark,"['Earring', 'PinkWithHat', 'RegularShades', 'HiddenEarring']",0xC352B5
95,9339,Male,Mid,"['Earring', 'Mohawk']",Opensea
96,2161,Female,Light,['BlondeBob'],0xC352B5
97,8093,Male,Mid,['WildHair'],0xC352B5
98,436,Female,Light,"['BlackLipstick', 'DarkHair', 'WeldingGoggles']",0xC352B5
99,4997,Male,Mid,"['Cigarette', 'Hoodie']",0xC352B5
100,3658,Female,Mid,['TassleHat'],0xC352B5
101,4069,Male,Mid,"['NerdGlasses', 'PoliceCap']",0xC352B5
102,2078,Male,Mid,"['LuxuriousBeard', 'VampireHair']",0xB88F61
103,2005,Female,Dark,"['BlackLipstick', 'BlondeBob', 'GreenEyeShadow']",0x89621B
104,6805,Male,Dark,"['CrazyHair', 'Earring', 'EyePatch', 'NormalBeardBlack']",0xC352B5
105,8074,Male,Light,['MohawkThin'],0xC352B5
106,1589,Female,Light,['StraightHairBlonde'],0xC352B5
107,8039,Male,Mid,['Headband'],0xC352B5
108,8682,Female,Light,"['BlackLipstick', 'Headband']",0xd0C877
109,3778,Male,Dark,"['Earring', 'Fedora', 'Handlebars']",0xeEE5Eb
110,9046,Female,Dark,"['Cigarette', 'Earring', 'MohawkDark', 'PurpleLipstick']",0xC352B5
111,5551,Male,Dark,"['Handlebars', 'KnittedCap']",0x2Debdf
112,1877,Male,Mid,"['Bandana', 'BigBeard', 'Earring', 'HornedRimGlasses']",0xC352B5
113,8066,Male,Albino,['Mohawk'],0xC352B5
114,2158,Female,Dark,['RedMohawk'],0xC352B5
115,2421,Female,Dark,"['Earring', 'HalfShaved', 'HiddenEarring']",0xC352B5
116,220,Female,Dark,"['BlackLipstick', 'ClownEyesBlue', 'Earring', 'Tiara']",0x9Ef55a
117,504,Zombie,Zombie,"['FrontBeardDark', 'MessyHair']",0xC352B5
118,9954,Female,Light,"['Bandana', 'BlackLipstick']",0x9179de
119,8245,Male,Mid,"['Cap', 'Earring']",0xB88F61
120,3703,Female,Mid,"['BigShades', 'TassleHat']",0xC352B5
121,243,Female,Light,"['PurpleLipstick', 'Tiara']",0xC352B5
122,9323,Male,Light,"['Cigarette', 'Mohawk']",0x78e96B
123,868,Female,Mid,"['Spots', 'WildWhiteHair']",0xC352B5
124,6760,Male,Mid,"['Earring', 'NormalBeardBlack', 'PeakSpike']",0xEDd776
125,3693,Female,Light,"['BigShades', 'PurpleLipstick', 'TassleHat']",0xC352B5
126,8605,Male,Albino,"['Cigarette', 'Earring', 'EyePatch', 'Headband']",0xC352B5
127,8453,Female,Mid,"['ClownEyesGreen', 'StringyHair']",0x4d8E16
128,3938,Male,Light,"['Chinstrap', 'Mole', 'PoliceCap', 'Vape', 'HiddenMole']",0xC352B5
129,3389,Male,Light,"['CapForward', 'Cigarette', 'GoldChain', 'HornedRimGlasses']",0xC352B5
130,8075,Male,Light,['Mohawk'],0xC352B5
131,2694,Female,Mid,"['HotLipstick', 'StraightHairDark']",0xC352B5
