punk_id,Trait
0,'BlondeBob'
0,'Earring'
0,'GreenEyeShadow'
0,'HiddenEarring'
1,'Mohawk'
1,'Smile'
2,'WildHair'
3,'NerdGlasses'
3,'Pipe'
3,'WildHair'
4,'BigShades'
4,'Earring'
4,'Goat'
4,'WildHair'
5,'Earring'
5,'HalfShaved'
5,'PurpleEyeShadow'
5,'HiddenEarring'
6,'Do-rag'
7,'ClownEyesBlue'
7,'Spots'
7,'WildWhiteHair'
8,'LuxuriousBeard'
8,'MessyHair'
9,'BigBeard'
9,'ClownNose'
9,'PoliceCap'
10,'BlueEyeShadow'
10,'Mohawk'
11,'BlackLipstick'
11,'ClownEyesGreen'
11,'StraightHairDark'
12,'BlondeShort'
12,'PurpleLipstick'
13,'BigShades'
13,'BlackLipstick'
13,'StraightHairBlonde'
14,'HotLipstick'
14,'PilotHelmet'
14,'Pipe'
15,'LuxuriousBeard'
15,'RegularShades'
15,'WildHair'
16,'Earring'
16,'SmallShades'
16,'StringyHair'
17,'Frown'
17,'Mohawk'
18,'EyeMask'
18,'Muttonchops'
19,'Bandana'
19,'HornedRimGlasses'
19,'HotLipstick'
20,'CrazyHair'
21,'ClassicShades'
21,'Earring'
21,'MessyHair'
22,'PilotHelmet'
22,'PurpleLipstick'
23,'Do-rag'
23,'Earring'
23,'Handlebars'
24,'MohawkDark'
24,'Smile'
25,'WildWhiteHair'
26,'DarkHair'
27,'Earring'
27,'PeakSpike'
28,'BigShades'
28,'CrazyHair'
29,'Earring'
29,'HalfShaved'
29,'HornedRimGlasses'
29,'HiddenEarring'
30,'Cap'
30,'NormalBeardBlack'
31,'StringyHair'
32,'Frown'
32,'VR'
33,'PeakSpike'
34,'FrumpyHair'
34,'PurpleLipstick'
35,'Cigarette'
35,'Earring'
35,'HornedRimGlasses'
35,'NormalBeard'
35,'PeakSpike'
36,'RedMohawk'
37,'Cap'
37,'ClownEyesBlue'
38,'ClassicShades'
38,'FrumpyHair'
38,'PurpleLipstick'
39,'Frown'
39,'RegularShades'
39,'ShavedHead'
40,'Bandana'
40,'Chinstrap'
40,'Smile'
41,'ClownEyesGreen'
41,'Muttonchops'
41,'WildHair'
42,'Cigarette'
42,'WildHair'
43,'HalfShaved'
44,'MessyHair'
45,'Earring'
45,'Mole'
46,'PurpleLipstick'
46,'StraightHairDark'
47,'KnittedCap'
48,'BigShades'
48,'Mohawk'
49,'Bandana'
49,'PurpleEyeShadow'
50,'Fedora'
50,'Spots'
51,'Earring'
51,'Muttonchops'
51,'WildHair'
52,'Earring'
52,'KnittedCap'
52,'NerdGlasses'
52,'ShadowBeard'
53,'BigShades'
53,'StraightHair'
54,'Hoodie'
55,'EyePatch'
56,'ShavedHead'
57,'Headband'
58,'Hoodie'
58,'NormalBeardBlack'
59,'CowboyHat'
59,'Muttonchops'
60,'PurpleLipstick'
60,'StringyHair'
61,'DarkHair'
62,'ClownEyesBlue'
62,'Earring'
62,'HotLipstick'
62,'MohawkDark'
63,'Earring'
63,'ShavedHead'
63,'SmallShades'
64,'PurpleLipstick'
64,'StraightHairBlonde'
65,'EyeMask'
65,'Headband'
66,'TassleHat'
67,'DGlasses'
67,'HalfShaved'
67,'PurpleLipstick'
68,'Do-rag'
68,'NerdGlasses'
69,'Fedora'
69,'NormalBeardBlack'
70,'Cigarette'
70,'CrazyHair'
70,'Earring'
70,'RegularShades'
71,'GreenEyeShadow'
71,'HalfShaved'
71,'PurpleLipstick'
72,'Earring'
72,'Fedora'
72,'NerdGlasses'
72,'NormalBeard'
73,'Bandana'
73,'BlackLipstick'
73,'Earring'
74,'Earring'
74,'MohawkDark'
74,'ShadowBeard'
75,'EyePatch'
75,'KnittedCap'
75,'ShadowBeard'
76,'Cigarette'
76,'Do-rag'
77,'Handlebars'
77,'StringyHair'
78,'EyePatch'
78,'Handlebars'
78,'KnittedCap'
79,'MohawkDark'
79,'NormalBeard'
80,'Mustache'
80,'WildHair'
81,'Headband'
81,'SmallShades'
82,'Headband'
83,'ShavedHead'
83,'SmallShades'
83,'Vape'
84,'BigShades'
84,'Earring'
84,'MessyHair'
85,'CrazyHair'
86,'Earring'
86,'GreenEyeShadow'
86,'HotLipstick'
86,'KnittedCap'
87,'Earring'
87,'Hoodie'
87,'HiddenEarring'
88,'Cap'
88,'HotLipstick'
89,'Choker'
90,'EyePatch'
90,'Hoodie'
91,'ClownNose'
91,'StraightHair'
92,'NerdGlasses'
92,'PinkWithHat'
92,'PurpleLipstick'
93,'Bandana'
94,'Earring'
94,'PinkWithHat'
94,'RegularShades'
94,'HiddenEarring'
95,'Earring'
95,'Mohawk'
96,'BlondeBob'
97,'WildHair'
98,'BlackLipstick'
98,'DarkHair'
98,'WeldingGoggles'
99,'Cigarette'
99,'Hoodie'
100,'TassleHat'
101,'NerdGlasses'
101,'PoliceCap'
102,'LuxuriousBeard'
102,'VampireHair'
103,'BlackLipstick'
103,'BlondeBob'
103,'GreenEyeShadow'
104,'CrazyHair'
104,'Earring'
104,'EyePatch'
104,'NormalBeardBlack'
105,'MohawkThin'
106,'StraightHairBlonde'
107,'Headband'
108,'BlackLipstick'
108,'Headband'
109,'Earring'
109,'Fedora'
109,'Handlebars'
110,'Cigarette'
110,'Earring'
110,'MohawkDark'
110,'PurpleLipstick'
111,'Handlebars'
111,'KnittedCap'
112,'Bandana'
112,'BigBeard'
112,'Earring'
112,'HornedRimGlasses'
113,'Mohawk'
114,'RedMohawk'
115,'Earring'
115,'HalfShaved'
115,'HiddenEarring'
116,'BlackLipstick'
116,'ClownEyesBlue'
116,'Earring'
116,'Tiara'
117,'FrontBeardDark'
117,'MessyHair'
118,'Bandana'
118,'BlackLipstick'
119,'Cap'
119,'Earring'
120,'BigShades'
120,'TassleHat'
121,'PurpleLipstick'
121,'Tiara'
122,'Cigarette'
122,'Mohawk'
123,'Spots'
123,'WildWhiteHair'
124,'Earring'
124,'NormalBeardBlack'
124,'PeakSpike'
125,'BigShades'
125,'PurpleLipstick'
125,'TassleHat'
126,'Cigarette'
126,'Earring'
126,'EyePatch'
126,'Headband'
127,'ClownEyesGreen'
127,'StringyHair'
128,'Chinstrap'
128,'Mole'
128,'PoliceCap'
128,'Vape'
128,'HiddenMole'
129,'CapForward'
129,'Cigarette'
129,'GoldChain'
129,'HornedRimGlasses'
130,'Mohawk'
131,'HotLipstick'
131,'StraightHairDark'
132,'MohawkThin'
133,'Chinstrap'
133,'Pipe'
133,'PurpleHair'
134,'PoliceCap'
135,'CapForward'
136,'ClownEyesGreen'
136,'ShadowBeard'
136,'ShavedHead'
137,'MessyHair'
138,'HornedRimGlasses'
138,'StringyHair'
139,'Do-rag'
139,'EyePatch'
140,'HotLipstick'
141,'DGlasses'
141,'Chinstrap'
141,'Headband'
142,'Mohawk'
142,'RegularShades'
143,'Beanie'
143,'HornedRimGlasses'
144,'Cigarette'
144,'FrumpyHair'
144,'LuxuriousBeard'
145,'WildHair'
146,'Earring'
146,'Mohawk'
147,'MohawkThin'
147,'RegularShades'
148,'Hoodie'
149,'BigShades'
149,'LuxuriousBeard'
149,'MessyHair'
150,'Earring'
150,'PurpleLipstick'
151,'StringyHair'
151,'VR'
152,'ClownEyesGreen'
152,'MohawkDark'
153,'Cap'
153,'Earring'
153,'EyeMask'
154,'Earring'
154,'Hoodie'
154,'ShadowBeard'
154,'HiddenEarring'
155,'ClownHairGreen'
155,'ClownNose'
156,'CapForward'
156,'SmallShades'
157,'Cap'
157,'Cigarette'
158,'Goat'
158,'RegularShades'
158,'WildHair'
159,'Earring'
159,'StringyHair'
160,'ClownEyesBlue'
160,'Pigtails'
160,'PurpleLipstick'
161,'FrumpyHair'
161,'HotLipstick'
162,'FrumpyHair'
162,'HornedRimGlasses'
162,'NormalBeardBlack'
163,'EyePatch'
163,'ShavedHead'
164,'StringyHair'
164,'VR'
165,'Cigarette'
165,'FrontBeardDark'
165,'MohawkDark'
166,'RegularShades'
166,'ShavedHead'
167,'Headband'
167,'HotLipstick'
168,'BlondeBob'
168,'BlueEyeShadow'
168,'SilverChain'
169,'HotLipstick'
169,'RegularShades'
169,'WildWhiteHair'
170,'ClassicShades'
170,'Mole'
170,'PeakSpike'
171,'Earring'
171,'Mole'
171,'StringyHair'
172,'DGlasses'
172,'BlondeBob'
172,'PurpleLipstick'
173,'ClownEyesBlue'
173,'HotLipstick'
173,'MessyHair'
173,'Mole'
173,'Pipe'
174,'Earring'
174,'HornedRimGlasses'
174,'WildHair'
175,'BigShades'
175,'Cap'
176,'Earring'
176,'PurpleLipstick'
176,'RegularShades'
176,'WildHair'
176,'HiddenEarring'
177,'Bandana'
177,'LuxuriousBeard'
178,'Fedora'
179,'ClassicShades'
179,'MohawkThin'
179,'ShadowBeard'
180,'HotLipstick'
180,'PilotHelmet'
181,'Mohawk'
182,'PeakSpike'
183,'ShadowBeard'
184,'BlondeBob'
184,'GreenEyeShadow'
185,'HotLipstick'
185,'WildWhiteHair'
186,'CrazyHair'
186,'Mustache'
187,'StraightHair'
188,'Earring'
188,'NerdGlasses'
188,'PeakSpike'
189,'MohawkThin'
189,'PurpleLipstick'
190,'Headband'
191,'Mohawk'
192,'ClownNose'
192,'Earring'
192,'MohawkThin'
192,'NerdGlasses'
193,'Earring'
193,'GreenEyeShadow'
193,'TassleHat'
